Comment,Description,Designator,Footprint,LibRef,Quantity

"0.1uF","CAP CER 0.1UF 16V X7R 0402","C1, C3, C8, C9","FP-GRM15-MFG","CMP-2100-03641-2","4"
"10uF","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C2, C4","FP-GRM188-0_1-e0_2_0_55-IPC_A","CMP-2006-02792-2","2"
"TAJB226K016RNJ","22uF 16V  ±10% 2.3O 1210  SMD Tantalum Capacitor","C5","FP-TAJB-MFG","CMP-2100-03689-2","1"
"1uF","","C7","CAPC2013X145X50ML20T25","CMP-1036-04731-2","1"
"150080RS75000","","D1","WL-SMCW_0805_150080xx75000","CMP-1426-00011-2","1"
"B2B-XH-A(LF)(SN)","CONN HEADER VERT 2POS 2.5MM","J1, J2, J3, J5, J6, J7","FP-B2B-XH-A_LF_SN-MFG","CMP-2000-05888-3","6"
"B8B-XH-A(LF)(SN)","CONN HEADER VERT 8POS 2.5MM","J4","FP-B8B-XH-A_LF_SN-MFG","CMP-17438-000015-1","1"
"TS-104-T-A","TS - Samtec 2.54mm Single Row Machined Terminal Strip - Fast Stock","J8","SAMTEC_TS-104-T-A","TS-104-T-A","1"
"B10B-XH-A(LF)(SN)","CONN HEADER VERT 10POS 2.5MM","J9","FP-B10B-XH-A_LF_SN-MFG","CMP-17439-000145-1","1"
"ESP32-WROOM-32D","WIFI MODULE 32MBITS SPI FLASH","MD1","FP-ESP32-WROOM-32D-MFG","CMP-194065-000003-1","1"
"75R 1% 0805(2012)","75R 0.125W 1% 0805 (2012 Metric)  SMD","R1","RESC0805(2012)_M","CMP-1013-00383-1","1"
"10k","RES SMD 10K OHM 1% 1/8W 0805","R2, R3, R4, R6, R7, R8","FP-CRG0805-IPC_C","CMP-03211-011401-1","6"
"TC33X-2-103E","Trimming Potentiometer, 10000 Ohm, -40 to 100 degC, 3-Pin SMD, RoHS, Tape and Reel","R5","BOUR-TC33X-2_V","CMP-2100-03695-1","1"
"1825910-6","Tact Switch, SPST-NO, 0.05 A, -35 to 85 degC, 4-Pin THD, RoHS, Bulk","SW1, SW2","TECO-1825910-6_V","CMP-1684-00021-1","2"
"AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U1","FP-AMS1117-IPC_C","CMP-209535-000001-1","1"
